_id,YIL,YARDIM_TALEBI,BASVURU_SEKLI,BASVURU_TIPI,CINSIYET,BASVURU_ADEDI
53,2012,GIDA,DİLEKÇE,DOĞAL AFET,KADIN,6
54,2012,GIDA,DİLEKÇE,PANDEMİ,ERKEK,1
55,2012,GIDA,DİLEKÇE,ENGELLILER,KADIN,1435
56,2012,GIDA,DİLEKÇE,YAŞLILAR,ERKEK,3863
57,2012,GIDA,DİLEKÇE,ENGELLILER,ERKEK,1877
58,2012,GIDA,HİM,VATANDAŞ,ERKEK,6
59,2012,GIDA,DİLEKÇE,YANGINZEDE,ERKEK,30
60,2012,GIDA,DİLEKÇE,YAŞLILAR,ERKEK,1
61,2012,GIDA,DİLEKÇE,DEPREMZEDE,ERKEK,9
62,2012,GIDA,DİLEKÇE,YAŞLILAR,KADIN,1
63,2012,GIDA,DİLEKÇE,VATANDAŞ,BELİRSİZ,1
64,2012,GIDA,DİLEKÇE,DOĞAL AFET,ERKEK,12
65,2012,GIDA,HİM,VATANDAŞ,KADIN,19
66,2012,GIDA,HİM,YAŞLILAR,ERKEK,1
67,2012,GIDA,DİLEKÇE,DOĞAL AFET (KAR YAĞIŞI),ERKEK,2
68,2012,GIDA,DİLEKÇE,VATANDAŞ,KADIN,21041
69,2012,GIDA,DİLEKÇE,VATANDAŞ,ERKEK,9398
70,2012,GIDA,DİLEKÇE,YANGINZEDE,KADIN,11
71,2012,GIDA,DİLEKÇE,VATANDAŞ,KADIN,4
72,2012,GIDA,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,15
73,2012,GIDA,DİLEKÇE,SELZEDE,KADIN,20
74,2012,GIDA,DİLEKÇE,ŞEHIT VE GAZI AILELERI,BELİRSİZ,1
75,2012,GIDA,DİLEKÇE,ÇÖLYAK HASTASI,ERKEK,3
76,2012,GIDA,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,676
77,2012,GIDA,HİM,ENGELLILER,KADIN,2
78,2012,GIDA,DİLEKÇE,VATANDAŞ,KADIN,9
79,2012,GIDA,DİLEKÇE,VATANDAŞ,KADIN,1
80,2012,GIDA,HİM,ENGELLILER,ERKEK,2
81,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,KADIN,2
82,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,YAŞLILAR,ERKEK,1
83,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,ERKEK,1
84,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,VATANDAŞ,ERKEK,1
85,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,ERKEK,4
86,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,ERKEK,2
87,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,ERKEK,4
88,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,KADIN,3
89,2012,HASTA ÖNÜ YEMEK MASASI,DİLEKÇE,ENGELLILER,KADIN,1
90,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,ERKEK,4
91,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,KADIN,3
92,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,ERKEK,3
93,2012,HASTA YATAĞI,DİLEKÇE,YAŞLILAR,ERKEK,1
94,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,ERKEK,2
95,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,ERKEK,1
96,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,KADIN,1
97,2012,HASTA YATAĞI,DİLEKÇE,ENGELLILER,KADIN,2
98,2012,MANUEL TEKERLEKLİ SANDALYE,DİLEKÇE,ENGELLILER,ERKEK,1
99,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,ERKEK,1
100,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,7
101,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,5
102,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,2
103,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET (KAR YAĞIŞI),ERKEK,8
104,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,2
105,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,BELİRSİZ,1
106,2012,NAKDİ YARDIM,DİLEKÇE,FENİLKETONÜRİ HASTASI,ERKEK,2
107,2012,NAKDİ YARDIM,HİM,YAŞLILAR,ERKEK,1
108,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,1
109,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,ERKEK,87
110,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,KADIN,10
111,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,KADIN,11
112,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,2
113,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,1
114,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,5
115,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,BELİRSİZ,1
116,2012,NAKDİ YARDIM,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,1
117,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,1
118,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,KADIN,2318
119,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,902
120,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,5
121,2012,NAKDİ YARDIM,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,18
122,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,74
123,2012,NAKDİ YARDIM,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,29
124,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,5
125,2012,NAKDİ YARDIM,DİLEKÇE,ÇÖLYAK HASTASI,ERKEK,3
126,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,1
127,2012,NAKDİ YARDIM,HİM,ENGELLILER,KADIN,3
128,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,KADIN,2
129,2012,NAKDİ YARDIM,DİLEKÇE,SELZEDE,KADIN,2
130,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,KADIN,1
131,2012,NAKDİ YARDIM,DİLEKÇE,FENİLKETONÜRİ HASTASI,KADIN,1
132,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,3
133,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,ERKEK,2899
134,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,29
135,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,30
136,2012,NAKDİ YARDIM,DİLEKÇE,DEPREMZEDE,ERKEK,13
137,2012,NAKDİ YARDIM,DİLEKÇE,PANDEMİ,ERKEK,3
138,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,1
139,2012,NAKDİ YARDIM,HİM,YAŞLILAR,KADIN,1
140,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,2
141,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,1
142,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET (KAR YAĞIŞI),KADIN,3
143,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,1
144,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,1729
145,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,126
146,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,1
147,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,4
148,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,42
149,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,1
150,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,ERKEK,1
151,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,KADIN,1
152,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,ERKEK,1
153,2012,NAKDİ YARDIM,HİM,VATANDAŞ,KADIN,31
154,2012,NAKDİ YARDIM,DİLEKÇE,ENGELLILER,ERKEK,22
155,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,1
156,2012,NAKDİ YARDIM,DİLEKÇE,DEPREMZEDE,KADIN,19
157,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,3
158,2012,NAKDİ YARDIM,HİM,ENGELLILER,ERKEK,1
159,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,3
160,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,11704
161,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,7100
162,2012,NAKDİ YARDIM,DİLEKÇE,SELZEDE,KADIN,90
163,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,KADIN,43
164,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,KADIN,32
165,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,440
166,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,ERKEK,12
167,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,48136
168,2012,NAKDİ YARDIM,DİLEKÇE,SELZEDE,ERKEK,107
169,2012,NAKDİ YARDIM,HİM,VATANDAŞ,ERKEK,9
170,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,6
171,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,7
172,2012,NAKDİ YARDIM,HİM,YAŞLILAR,KADIN,4
173,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,5
174,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,2
175,2012,NAKDİ YARDIM,DİLEKÇE,DENETİMLİ SERBESTLİK,KADIN,8
176,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,KADIN,1
177,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,KADIN,1
178,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,KADIN,1
179,2012,NAKDİ YARDIM,DİLEKÇE,DOĞAL AFET,ERKEK,1
180,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,20083
181,2012,NAKDİ YARDIM,DİLEKÇE,YANGINZEDE,ERKEK,6
182,2012,NAKDİ YARDIM,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,1
183,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,2
184,2012,NAKDİ YARDIM,DİLEKÇE,FENİLKETONÜRİ HASTASI,KADIN,1
185,2012,NAKDİ YARDIM,DİLEKÇE,VATANDAŞ,ERKEK,7
186,2012,NAKDİ YARDIM,DİLEKÇE,YAŞLILAR,ERKEK,1
187,2012,OKUL,DİLEKÇE,OKUL,BELİRSİZ,31
188,2012,OKUL,DİLEKÇE,OKUL,BELİRSİZ,2
189,2012,SÜT,DİLEKÇE,YAŞLILAR,ERKEK,11
190,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,3
191,2012,SÜT,DİLEKÇE,YANGINZEDE,ERKEK,3
192,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,3
193,2012,SÜT,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,1
194,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,12889
195,2012,SÜT,DİLEKÇE,ENGELLILER,KADIN,69
196,2012,SÜT,DİLEKÇE,YANGINZEDE,KADIN,3
197,2012,SÜT,DİLEKÇE,SELZEDE,KADIN,4
198,2012,SÜT,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,5
199,2012,SÜT,DİLEKÇE,YANGINZEDE,ERKEK,7
200,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,5
201,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,2
202,2012,SÜT,DİLEKÇE,PANDEMİ,ERKEK,5
203,2012,SÜT,DİLEKÇE,PANDEMİ,ERKEK,1
204,2012,SÜT,DİLEKÇE,YANGINZEDE,KADIN,3
205,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,2
206,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,16071
207,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,4364
208,2012,SÜT,DİLEKÇE,DEPREMZEDE,ERKEK,11
209,2012,SÜT,DİLEKÇE,YAŞLILAR,KADIN,33
210,2012,SÜT,DİLEKÇE,YANGINZEDE,ERKEK,2
211,2012,SÜT,HİM,VATANDAŞ,ERKEK,2
212,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,13
213,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,31
214,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,17
215,2012,SÜT,HİM,VATANDAŞ,KADIN,11
216,2012,SÜT,DİLEKÇE,DENETİMLİ SERBESTLİK,KADIN,1
217,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,1
218,2012,SÜT,DİLEKÇE,YAŞLILAR,ERKEK,9
219,2012,SÜT,HİM,VATANDAŞ,ERKEK,1
220,2012,SÜT,DİLEKÇE,YAŞLILAR,KADIN,3
221,2012,SÜT,DİLEKÇE,VATANDAŞ,BELİRSİZ,6
222,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,4
223,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,BELİRSİZ,1
224,2012,SÜT,DİLEKÇE,DOĞAL AFET,ERKEK,2
225,2012,SÜT,DİLEKÇE,SELZEDE,ERKEK,1
226,2012,SÜT,DİLEKÇE,ENGELLILER,ERKEK,44
227,2012,SÜT,DİLEKÇE,ENGELLILER,KADIN,13
228,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,28
229,2012,SÜT,DİLEKÇE,YAŞLILAR,ERKEK,3
230,2012,SÜT,DİLEKÇE,VATANDAŞ,BELİRSİZ,8
231,2012,SÜT,DİLEKÇE,SELZEDE,ERKEK,4
232,2012,SÜT,DİLEKÇE,DEPREMZEDE,ERKEK,8
233,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,17
234,2012,SÜT,DİLEKÇE,YANGINZEDE,KADIN,7
235,2012,SÜT,DİLEKÇE,DOĞAL AFET,KADIN,1
236,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,5
237,2012,SÜT,DİLEKÇE,FENİLKETONÜRİ HASTASI,KADIN,1
238,2012,SÜT,DİLEKÇE,YAŞLILAR,KADIN,1
239,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,9492
240,2012,SÜT,DİLEKÇE,SELZEDE,KADIN,12
241,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,2
242,2012,SÜT,DİLEKÇE,ENGELLILER,ERKEK,18
243,2012,SÜT,DİLEKÇE,DOĞAL AFET,ERKEK,1
244,2012,SÜT,HİM,VATANDAŞ,KADIN,4
245,2012,SÜT,DİLEKÇE,DOĞAL AFET,KADIN,2
246,2012,SÜT,DİLEKÇE,ENGELLILER,ERKEK,11
247,2012,SÜT,DİLEKÇE,ENGELLILER,KADIN,23
248,2012,SÜT,DİLEKÇE,ENGELLILER,KADIN,64
249,2012,SÜT,DİLEKÇE,DEPREMZEDE,KADIN,12
250,2012,SÜT,DİLEKÇE,DOĞAL AFET,ERKEK,4
251,2012,SÜT,HİM,VATANDAŞ,KADIN,4
252,2012,SÜT,DİLEKÇE,FENİLKETONÜRİ HASTASI,ERKEK,1
253,2012,SÜT,DİLEKÇE,YANGINZEDE,ERKEK,18
254,2012,SÜT,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,2
255,2012,SÜT,DİLEKÇE,DEPREMZEDE,KADIN,4
256,2012,SÜT,DİLEKÇE,SELZEDE,KADIN,4
257,2012,SÜT,DİLEKÇE,SELZEDE,KADIN,2
258,2012,SÜT,DİLEKÇE,PANDEMİ,ERKEK,1
259,2012,SÜT,DİLEKÇE,DEPREMZEDE,ERKEK,1
260,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,22667
261,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,5007
262,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,6
263,2012,SÜT,DİLEKÇE,DEPREMZEDE,KADIN,13
264,2012,SÜT,DİLEKÇE,YAŞLILAR,ERKEK,87
265,2012,SÜT,DİLEKÇE,VATANDAŞ,BELİRSİZ,35
266,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,3
267,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,ERKEK,2
268,2012,SÜT,DİLEKÇE,DEPREMZEDE,KADIN,6
269,2012,SÜT,DİLEKÇE,SELZEDE,ERKEK,15
270,2012,SÜT,DİLEKÇE,DENETİMLİ SERBESTLİK,ERKEK,2
271,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,1
272,2012,SÜT,DİLEKÇE,PANDEMİ,ERKEK,2
273,2012,SÜT,DİLEKÇE,DEPREMZEDE,ERKEK,1
274,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,ERKEK,1
275,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,3
276,2012,SÜT,DİLEKÇE,SELZEDE,ERKEK,3
277,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,1
278,2012,SÜT,HİM,VATANDAŞ,KADIN,1
279,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,2030
280,2012,SÜT,DİLEKÇE,ENGELLILER,ERKEK,37
281,2012,SÜT,DİLEKÇE,VATANDAŞ,ERKEK,3233
282,2012,SÜT,DİLEKÇE,VATANDAŞ,BELİRSİZ,18
283,2012,SÜT,DİLEKÇE,VATANDAŞ,KADIN,7
284,2012,SÜT,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,8
285,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,6
286,2012,SÜT,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,4
287,2012,SÜT,DİLEKÇE,YAŞLILAR,KADIN,6
288,2012,TEMİZLİK MADDESİ,DİLEKÇE,VATANDAŞ,KADIN,2
289,2012,TEMİZLİK MADDESİ,DİLEKÇE,ENGELLILER,KADIN,1
290,2012,YAKACAK,DİLEKÇE,YAŞLILAR,KADIN,15
291,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,3
292,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,1
293,2012,YAKACAK,DİLEKÇE,ENGELLILER,ERKEK,3
294,2012,YAKACAK,DİLEKÇE,DOĞAL AFET,KADIN,1
295,2012,YAKACAK,DİLEKÇE,VATANDAŞ,KADIN,45
296,2012,YAKACAK,DİLEKÇE,VATANDAŞ,ERKEK,43
297,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,7
298,2012,YAKACAK,DİLEKÇE,YAŞLILAR,ERKEK,7
299,2012,YAKACAK,DİLEKÇE,VATANDAŞ,KADIN,1
300,2012,YAKACAK,DİLEKÇE,VATANDAŞ,ERKEK,1
301,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,2
302,2012,YAKACAK,DİLEKÇE,YANGINZEDE,ERKEK,1
303,2012,YAKACAK,DİLEKÇE,ENGELLILER,KADIN,1
304,2012,YAKACAK,DİLEKÇE,YAŞLILAR,ERKEK,10
305,2012,YAKACAK,DİLEKÇE,VATANDAŞ,KADIN,136
306,2012,YAKACAK,DİLEKÇE,ENGELLILER,KADIN,9
307,2012,YAKACAK,DİLEKÇE,YAŞLILAR,KADIN,27
308,2012,YAKACAK,DİLEKÇE,VATANDAŞ,ERKEK,18
309,2012,YAKACAK,DİLEKÇE,ENGELLILER,ERKEK,8
310,2012,YAKACAK,DİLEKÇE,SELZEDE,ERKEK,1
311,2012,YAKACAK,DİLEKÇE,VATANDAŞ,ERKEK,30
312,2012,YAKACAK,DİLEKÇE,YAŞLILAR,KADIN,15
313,2012,YAKACAK,DİLEKÇE,YAŞLILAR,ERKEK,4
314,2012,YAKACAK,DİLEKÇE,DEPREMZEDE,KADIN,1
315,2012,YAKACAK,DİLEKÇE,ENGELLILER,KADIN,8
316,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,BELİRSİZ,1
317,2012,YAKACAK,DİLEKÇE,VATANDAŞ,KADIN,110
318,2012,YAKACAK,DİLEKÇE,VATANDAŞ,KADIN,60
319,2012,YAKACAK,DİLEKÇE,YANGINZEDE,ERKEK,1
320,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,KADIN,7
321,2012,YAKACAK,DİLEKÇE,DEPREMZEDE,KADIN,1
322,2012,YAKACAK,DİLEKÇE,ENGELLILER,ERKEK,8
323,2012,YAKACAK,DİLEKÇE,ENGELLILER,KADIN,4
324,2012,YAKACAK,DİLEKÇE,DOĞAL AFET,ERKEK,4
325,2012,YAKACAK,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,10
326,2012,YAKACAK,DİLEKÇE,YAŞLILAR,ERKEK,9
327,2012,YAKACAK,DİLEKÇE,VATANDAŞ,ERKEK,15
328,2012,YAKACAK,DİLEKÇE,ENGELLILER,ERKEK,10
329,2012,YAKACAK,DİLEKÇE,YAŞLILAR,KADIN,13
330,2013,AKÜ,DİLEKÇE,VATANDAŞ,ERKEK,3
331,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,2
332,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,1
333,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,1
334,2013,AKÜ,DİLEKÇE,YAŞLILAR,KADIN,1
335,2013,AKÜ,DİLEKÇE,ENGELLILER,KADIN,7
336,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,25
337,2013,AKÜ,DİLEKÇE,ENGELLILER,KADIN,1
338,2013,AKÜ,DİLEKÇE,VATANDAŞ,ERKEK,2
339,2013,AKÜ,DİLEKÇE,YAŞLILAR,ERKEK,2
340,2013,AKÜ,DİLEKÇE,ENGELLILER,KADIN,1
341,2013,AKÜ,DİLEKÇE,VATANDAŞ,ERKEK,6
342,2013,AKÜ,DİLEKÇE,VATANDAŞ,KADIN,3
343,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,4
344,2013,AKÜ,DİLEKÇE,VATANDAŞ,ERKEK,1
345,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,4
346,2013,AKÜ,DİLEKÇE,YAŞLILAR,ERKEK,7
347,2013,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,3
348,2013,AKÜ,DİLEKÇE,ENGELLILER,KADIN,18
349,2013,AKÜ,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,2
